FECHA_CREACION,GENERO_1,GENERO_2,FECHA_MATRIMONIO
01OCT2019:07:58:22,Masculino,Femenino,21NOV2008:00:00:00
01OCT2019:08:08:07,Masculino,Femenino,30JUL2002:00:00:00
01OCT2019:08:20:12,Masculino,Femenino,27AUG2014:00:00:00
01OCT2019:08:28:58,Masculino,Femenino,16JAN2008:00:00:00
01OCT2019:08:33:09,Masculino,Femenino,12DEC1990:00:00:00
01OCT2019:08:37:11,No declara,No declara,05MAR1993:00:00:00
01OCT2019:08:56:10,Femenino,Masculino,02MAR2012:00:00:00
01OCT2019:08:51:33,Masculino,Femenino,17MAR2000:00:00:00
01OCT2019:09:02:47,Masculino,Femenino,01DEC2011:00:00:00
01OCT2019:09:07:00,Masculino,Femenino,23NOV2012:00:00:00
01OCT2019:09:10:17,Masculino,Femenino,06JUN2002:00:00:00
01OCT2019:09:11:41,Masculino,Femenino,09APR2013:00:00:00
01OCT2019:09:16:31,Masculino,Femenino,23JAN2017:00:00:00
01OCT2019:09:20:51,Masculino,Femenino,16JAN2009:00:00:00
01OCT2019:09:24:37,Masculino,Femenino,28FEB2002:00:00:00
01OCT2019:09:31:24,Masculino,Femenino,02SEP1994:00:00:00
01OCT2019:09:27:10,Masculino,Femenino,08JUN2012:00:00:00
01OCT2019:09:39:10,No declara,Femenino,12JUL2007:00:00:00
01OCT2019:09:36:07,Masculino,Femenino,16SEP2015:00:00:00
01OCT2019:09:55:25,Masculino,Femenino,24MAY2004:00:00:00
01OCT2019:09:44:02,No declara,No declara,01DEC1995:00:00:00
01OCT2019:09:49:17,Masculino,Femenino,17DEC2010:00:00:00
01OCT2019:10:01:42,No declara,No declara,16FEB1989:00:00:00
01OCT2019:10:17:49,Masculino,Femenino,27FEB1981:00:00:00
01OCT2019:10:34:09,Masculino,Femenino,08OCT1982:00:00:00
01OCT2019:10:50:44,Masculino,Femenino,22MAR2006:00:00:00
01OCT2019:10:42:51,Masculino,Femenino,16DEC1996:00:00:00
01OCT2019:10:55:17,Masculino,Femenino,28OCT2015:00:00:00
01OCT2019:11:06:04,Masculino,Femenino,09OCT2014:00:00:00
01OCT2019:11:01:03,Masculino,Femenino,19APR2007:00:00:00
01OCT2019:11:27:05,Masculino,Femenino,26OCT1966:00:00:00
01OCT2019:11:39:12,Masculino,No declara,07MAR1997:00:00:00
01OCT2019:11:46:47,Masculino,Masculino,10APR2018:00:00:00
01OCT2019:11:54:01,Masculino,Femenino,15OCT2004:00:00:00
01OCT2019:11:59:02,Masculino,Femenino,09MAR2006:00:00:00
01OCT2019:12:07:52,No declara,No declara,20NOV1986:00:00:00
01OCT2019:12:12:52,Masculino,Femenino,11FEB2016:00:00:00
02OCT2019:07:18:54,Masculino,Femenino,07MAR2008:00:00:00
02OCT2019:07:47:58,Masculino,Femenino,24JAN2008:00:00:00
02OCT2019:07:58:03,Masculino,Femenino,24NOV2010:00:00:00
02OCT2019:08:02:16,Masculino,Femenino,04FEB2011:00:00:00
02OCT2019:08:09:29,No declara,No declara,16AUG1991:00:00:00
02OCT2019:09:48:03,Masculino,Femenino,06MAY2005:00:00:00
02OCT2019:10:06:25,Masculino,,06DEC2007:00:00:00
02OCT2019:09:52:34,No declara,No declara,10JAN1992:00:00:00
02OCT2019:09:55:54,Masculino,Femenino,14FEB2003:00:00:00
02OCT2019:09:58:40,Masculino,Femenino,21MAR1997:00:00:00
02OCT2019:10:07:25,Masculino,,07FEB1975:00:00:00
02OCT2019:10:13:17,Masculino,Femenino,05MAR2004:00:00:00
02OCT2019:10:16:45,No declara,No declara,16MAY1990:00:00:00
02OCT2019:10:33:18,Masculino,Femenino,09APR1975:00:00:00
03OCT2019:07:37:32,No declara,Femenino,17OCT1990:00:00:00
03OCT2019:07:44:49,Masculino,Femenino,16MAR2012:00:00:00
03OCT2019:07:52:44,Masculino,Femenino,04APR2008:00:00:00
03OCT2019:07:57:29,Masculino,Femenino,22OCT2014:00:00:00
03OCT2019:08:01:53,Masculino,Femenino,30MAY2014:00:00:00
03OCT2019:08:07:09,No declara,No declara,30JAN1995:00:00:00
03OCT2019:08:29:52,Masculino,Femenino,20DEC2006:00:00:00
03OCT2019:08:19:56,Masculino,Femenino,28MAR2001:00:00:00
03OCT2019:08:34:44,Masculino,Femenino,23DEC2005:00:00:00
03OCT2019:08:45:32,Masculino,Femenino,09DEC1994:00:00:00
03OCT2019:08:54:05,Masculino,Femenino,29APR1994:00:00:00
03OCT2019:09:34:28,No declara,No declara,21OCT1983:00:00:00
03OCT2019:09:40:25,No declara,No declara,23JUN1993:00:00:00
03OCT2019:09:46:58,Masculino,No declara,15FEB1985:00:00:00
03OCT2019:09:55:20,Masculino,Femenino,31MAR1981:00:00:00
03OCT2019:10:06:20,No declara,No declara,27JUL1993:00:00:00
03OCT2019:10:12:33,No declara,No declara,10DEC1992:00:00:00
03OCT2019:10:26:01,Masculino,Femenino,07OCT1982:00:00:00
03OCT2019:10:24:22,Masculino,Femenino,23SEP1993:00:00:00
03OCT2019:10:33:07,Masculino,Femenino,30JUL1991:00:00:00
03OCT2019:10:38:13,No declara,No declara,09DEC1997:00:00:00
03OCT2019:10:41:42,Masculino,Femenino,13SEP2010:00:00:00
03OCT2019:10:46:56,Masculino,Femenino,17JAN1997:00:00:00
03OCT2019:10:56:44,No declara,No declara,19JUN1992:00:00:00
03OCT2019:10:52:58,Masculino,Femenino,09JUN1992:00:00:00
03OCT2019:11:00:57,Masculino,Femenino,02SEP1977:00:00:00
03OCT2019:11:00:34,Masculino,Masculino,19AUG2016:00:00:00
03OCT2019:11:08:18,Masculino,Femenino,21DEC1992:00:00:00
03OCT2019:11:13:18,Masculino,Femenino,24OCT2001:00:00:00
03OCT2019:11:15:56,No declara,Femenino,15MAY1997:00:00:00
03OCT2019:11:05:07,Masculino,Femenino,28NOV2008:00:00:00
03OCT2019:11:11:39,Masculino,Femenino,17JUN2016:00:00:00
03OCT2019:11:19:20,Masculino,Femenino,10SEP2015:00:00:00
03OCT2019:11:30:34,No declara,No declara,15MAR1985:00:00:00
03OCT2019:11:23:32,Masculino,Femenino,14MAR1980:00:00:00
04OCT2019:07:44:35,Masculino,Femenino,22NOV2012:00:00:00
04OCT2019:07:29:21,Masculino,Femenino,20FEB2004:00:00:00
04OCT2019:07:33:23,Masculino,Femenino,04JUL2013:00:00:00
